Source:,G:\WSP-KiCad6\quick-feather-dev-board-master\quickfeather-board.kicad_sch,,,,,,,,,,
Date:,8/27/2022 15:30,,,,,,,,,,
Tool:,Eeschema (6.0.7),,,,,,,,,,
Generator:,F:\Program Files\KiCad6\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,,,,,
Component Count:,101,,,,,,,,,,
,,,,,,,,,,,
Individual Components:,,,,,,,,,,,
,,,,,,,,,,,
Item,Qty,Reference(s),Value,MPN,Manufacturer,Val,,,,,
33,14,"R6, R8, R10, R14, R15, R19, R21, R22, R23, R31, R32, R34, R36, R37",R_10k_0402,CRCW040210K0FKEDHP,VISHAY,10k,,42,,,
34,7,"R7, R11, R28, R29, R38, R39, R40",R_22R_0402,CRCW040222R0FKED,VISHAY,22R,,21,,,
35,3,"R13, R24, R26",R_100R_0402,CR0402-FX-1000GLF,BOURNS,100R,,9,,,
36,1,R16,R_200k_0402,RC0402FR-07200KL,YAGEO_(PHYCOMP),200k,,3,,,
37,1,R25,R_220R_0402,RMCF0402JT220R,Stackpole Electronics Inc,220R,,3,,,
38,4,"R30, R33, R41, R42",EXB2HV220JV,EXB2HV220JV,Panasonic,,,12,,,
39,2,"S1, S2",KMR2,KMR211NGLFS,C&K Components,,,6,,,
40,3,"TP1, TP2, TP6",TP_SMD1MM,N/A,N/A,,,9,,,
41,2,"TP4, TP5",TP_THT,N/A,N/A,,,6,,,
42,1,U1,TPS62821DLCR,TPS62821DLCR,Texas Instruments,,,3,,,
43,1,U2,MCP73831T-2ACI_OT,MCP73831T-2ACI/OT,Microchip Technology,,,3,,,
44,1,U3,GD25Q16CWIGR,GD25Q16CWIGR,GigaDevice,,,3,,,
45,1,U4,DPS310,DPS310,Infineon,,,3,,,
46,1,U5,MC3635,MC3635,mCube,,,3,,,
47,1,X1,ECS-_327-12_5-34B-TR,ECS-.327-12.5-34B-TR,ECS Inc.,,,3,,,
